Part_Focus,Part_Name,Part_Number,Quantity,Cost,Website,Partnumber_Complete,Protected Data Cells,Websites,Part Focus Protected List
Engine,Oil Seal (80X98X10) (ARAI),91214-RNB-A01,1,$10.97,,TRUE,1,Other,Engine
Engine,"Sensor, Knock ",30530-PRB-A01,1,$88.83,,TRUE,2,Amazon.com,Wheels/Tires
Engine,"Bolt, Sealing (10MM)",90004-PE2-005,1,$3.74,,TRUE,3,,Cage/Safety
Engine,"Washer, Sealing (10MM)",90401-PE2-003,1,$2.61,,TRUE,4,,
Engine,"Wire Harness, Engine",32110-PRB-A00,1,$468.69,,TRUE,5,,
Engine,VIbrant Mild Steel Exhaust Manifold Flange ,14610K,1,$63.23,Amazon.com,TRUE,6,,
Engine,"NGK Laser Iridium 
Spark Plugs
Acura RSX 02-06 K20A2 K20Z1 Kit
Need Part number detail here","NGK Laser Iridium 
Spark Plugs
Acura RSX 02-06 K20A2 K20Z1 Kit
Need Part number detail here",1,$42.25,Amazon.com,FALSE,7,,
Engine,Denso O2 sensor,234-900S ,1,$115.00,,TRUE,,,
Engine,Honda Flywheel Dust Shield,,1,$17.00,,FALSE,,,
Engine,B Series TPS Jumper Harness,,1,$24.00,,FALSE,,,
Engine,K24A2 Upper Coolant Neck,,1,$129.00,,FALSE,,,
Engine,Honda Acura K Series Timing Chain Tensioner OEM,14510-PRB-A01,1,$94.95,,TRUE,,,
Engine,K20a2 PRB Oil Pump RSX-S,15100-PRB-A01,1,$229.29,,TRUE,,,
Engine,Hondata KPro V4 ,,1,$895.00,,TRUE,,,
Engine,K-Tuned Sivel Neck Thermostat,UNV-350,1,$158.98,,TRUE,,,
Engine,K-Tuned OEM Thermostat Housing and bracket,KHP-PG-301,1,$21.98,,TRUE,,,
Engine,Moroso Oil Pan ,20915,1,$349.95,,TRUE,,,
Engine,"O-Ring, Chain Case",91302-PNA-004,1,$4.60,,TRUE,,,
Engine,Oil Seal (43X58X7) (NOK),91212-PNC-003,1,$9.81,,TRUE,,,
Engine,"Actuator Assy, VTC (46T)",14310-RBC-003,1,$175.12,,TRUE,,,
Engine,Chain (64L),13441-PCX-004,1,$42.91,,TRUE,,,
Engine,"Guide, Oil Pump Chain",13460-PNC-004,1,$11.38,,TRUE,,,
Engine,Bolt Flange (6X25),95701-06025-08,1,$0.98,,TRUE,,,
Engine,Bolt Flange (8X50),95701-08050-08,1,$1.37,,TRUE,,,
Engine,Bolt Flange (8X75),95701-08075-08,1,$1.59,,TRUE,,,
Wheels/Tires,"Wedssport SA72R ""wide spec"" 17x10+55. re71R with 255/40-17 tires",,,,,FALSE,,,
,K20 oil pump k20pan ballade baffle combined with tractuff trap door,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,,,FALSE,,,
,,,,"$2,963.23",,FALSE,,,